method,top1_accuracy,margin_median,margin_mean,n_runs,n_unknown_points,n_possible_combinations,requested_sampling_iterations,used_sampling_iterations,sampling_mode,sample_size,scenario,model_type,output_dir
centroid_distance,1.0,2.299341815885276,2.2970180901699635,20,20,20,5000,20,exhaustive_unique,19,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.63862303983237,0.6386697622739049,20,20,20,5000,20,exhaustive_unique,19,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.246255661970585,12.23366957143995,20,20,20,5000,20,exhaustive_unique,19,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0114035087719298,0.011688596491228,20,20,20,5000,20,exhaustive_unique,19,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.299099704234726,2.299099704234726,1,20,1,5000,1,exhaustive_unique,20,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
dihs,1.0,0.6413042406519889,0.6413042406519889,1,20,1,5000,1,exhaustive_unique,20,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
mahalanobis_distance,1.0,12.243255725733922,12.243255725733922,1,20,1,5000,1,exhaustive_unique,20,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
single_cut_coassociation,1.0,0.0116666666666666,0.0116666666666666,1,20,1,5000,1,exhaustive_unique,20,compact_separated,agglomerative,./1_benchmarking_comparison/agglomerative/compact_separated
centroid_distance,1.0,2.1476362938336298,2.1177600726302943,20,20,20,5000,20,exhaustive_unique,1,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.3335221314267408,0.3415078680748357,20,20,20,5000,20,exhaustive_unique,1,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,11.377971236833002,11.203375020061966,20,20,20,5000,20,exhaustive_unique,1,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0125,0.0116666666666666,20,20,20,5000,20,exhaustive_unique,1,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.1911298318191874,2.177253891378909,190,20,190,5000,190,exhaustive_unique,2,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.4026920420933185,0.4014926037621364,190,20,190,5000,190,exhaustive_unique,2,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,11.66825980544138,11.594929996299848,190,20,190,5000,190,exhaustive_unique,2,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0125,0.0115570175438596,190,20,190,5000,190,exhaustive_unique,2,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.221180128694228,2.206634955190284,1140,20,1140,5000,1140,exhaustive_unique,3,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.4352765078199141,0.4304474049719273,1140,20,1140,5000,1140,exhaustive_unique,3,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,11.888280531369588,11.757570417949063,1140,20,1140,5000,1140,exhaustive_unique,3,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
single_cut_coassociation,1.0,0.0111111111111111,0.0119663742690058,1140,20,1140,5000,1140,exhaustive_unique,3,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
centroid_distance,1.0,2.2356505164422398,2.223775282734992,4845,20,4845,5000,4845,exhaustive_unique,4,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
dihs,1.0,0.4686830575414118,0.4653188596833614,4845,20,4845,5000,4845,exhaustive_unique,4,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
mahalanobis_distance,1.0,11.986124692798722,11.848816554340424,4845,20,4845,5000,4845,exhaustive_unique,4,compact_separated,kmeans,./1_benchmarking_comparison/kmeans/compact_separated
