"dataset_size_pct","sample_size","feature_space","model","case","n_runs","margin_mean","margin_std","margin_median","true_positive_fraction"
"25","7","Coupled","gaussian","negative","600","0.10271846606814174","0.0828697460516464","0.08075619716422011","0.0"
"25","7","Coupled","gaussian","positive","600","0.4147828656534337","0.1485188053414358","0.43969116272912656","0.9866666666666667"
"25","7","Coupled","kmeans","negative","600","0.1127494771974764","0.08414046793094306","0.09512711283085765","0.0"
"25","7","Coupled","kmeans","positive","600","0.4271027699423947","0.1462133724042225","0.442860088907434","0.9966666666666667"
"50","1","Coupled","agglomerative","negative","600","0.19926279890871296","0.117264550690996","0.17158031135341828","0.0"
"50","1","Coupled","agglomerative","positive","600","0.2499094120828102","0.14109738123762652","0.2487118010377326","0.8366666666666667"
"50","1","Coupled","gaussian","negative","600","0.08338781199253274","0.06929750420257437","0.06566045640422288","0.0"
"50","1","Coupled","gaussian","positive","600","0.15579925389076968","0.0994785577303977","0.17590972623543716","0.7816666666666666"
"50","1","Coupled","kmeans","negative","600","0.12085429318300264","0.11449711550829207","0.08425938176315548","0.0"
"50","1","Coupled","kmeans","positive","600","0.2203981365803152","0.15570607339942472","0.19848938817996184","0.7716666666666666"
"50","10","Coupled","agglomerative","negative","600","0.15027055774836004","0.11445794579795608","0.11864256559858843","0.0"
"50","10","Coupled","agglomerative","positive","600","0.43260070248679244","0.13476418928088443","0.4334798142767478","1.0"
"50","10","Coupled","gaussian","negative","600","0.08052377291769812","0.060754860208977246","0.06760400479444718","0.0"
"50","10","Coupled","gaussian","positive","600","0.39298105205093903","0.1065337440268711","0.4210239764326686","1.0"
"50","10","Coupled","kmeans","negative","600","0.12307221185419702","0.07337344633076219","0.11606558663088531","0.0"
"50","10","Coupled","kmeans","positive","600","0.4255299894116993","0.14413416889510028","0.41236156106091515","1.0"
"50","12","Coupled","agglomerative","negative","600","0.14265990177175783","0.11124821148491322","0.10990851115971881","0.0"
"50","12","Coupled","agglomerative","positive","600","0.4477664529726378","0.13131319910718678","0.447970587306908","1.0"
"50","12","Coupled","gaussian","negative","600","0.0819093225426805","0.05919605196627282","0.07029455088818043","0.0"
"50","12","Coupled","gaussian","positive","600","0.41151061138704487","0.10624704413746662","0.44056591288416236","1.0"
"50","12","Coupled","kmeans","negative","600","0.1306012116572166","0.08062020725459111","0.12489687665013768","0.0"
"50","12","Coupled","kmeans","positive","600","0.44601572112774696","0.13790577446474428","0.4439453444076588","1.0"
"50","15","Coupled","agglomerative","negative","600","0.15212947163581372","0.11526080011589533","0.1255110394807937","0.0"
"50","15","Coupled","agglomerative","positive","600","0.45650481375924995","0.13103265777699216","0.4714738686499233","1.0"
"50","15","Coupled","gaussian","negative","600","0.08232715708282758","0.056643741120200194","0.07245456647943267","0.0"
"50","15","Coupled","gaussian","positive","600","0.4323824471191086","0.10910734847946905","0.46082830878050274","1.0"
"50","15","Coupled","kmeans","negative","600","0.12030672056651547","0.07519532189294018","0.11409159592515178","0.0"
"50","15","Coupled","kmeans","positive","600","0.4522413241748137","0.13329426304868763","0.44730878396331347","1.0"
"50","18","Coupled","agglomerative","negative","600","0.1552208407063692","0.110896418387795","0.13090385663508805","0.0"
"50","18","Coupled","agglomerative","positive","600","0.4675479608740905","0.12780971230744045","0.4830250081434566","1.0"
"50","18","Coupled","gaussian","negative","600","0.0865363269001173","0.05579209551126088","0.07647307937453385","0.0"
"50","18","Coupled","gaussian","positive","600","0.4500241468661271","0.10669821785057641","0.4760130532379283","1.0"
"50","18","Coupled","kmeans","negative","600","0.12084988167554951","0.07897015948886595","0.11329599509299518","0.0"
"50","18","Coupled","kmeans","positive","600","0.4614459673289109","0.1315229375532141","0.45179392460094225","1.0"
"50","2","Coupled","agglomerative","negative","600","0.18166538677070077","0.12391741895089298","0.170107035535548","0.0"
"50","2","Coupled","agglomerative","positive","600","0.3064350256181598","0.14847959128794105","0.30400356610533164","0.9383333333333334"
"50","2","Coupled","gaussian","negative","600","0.08050157091978584","0.06788955845669269","0.0657223382960822","0.0"
"50","2","Coupled","gaussian","positive","600","0.2269385888479932","0.10199710703465252","0.2483481726455145","0.95"
"50","2","Coupled","kmeans","negative","600","0.16173751211040538","0.12899297335430132","0.12900361982602618","0.0"
"50","2","Coupled","kmeans","positive","600","0.3200332320705184","0.18028983124307216","0.3115937815475206","0.925"
"50","20","Coupled","agglomerative","negative","600","0.1570874733446227","0.11103398544947952","0.13366043410914855","0.0"
"50","20","Coupled","agglomerative","positive","600","0.46910609408768605","0.1291633136867285","0.4854776793565139","1.0"
"50","20","Coupled","gaussian","negative","600","0.08992732747632463","0.05670279363927655","0.08415007997667862","0.0"
"50","20","Coupled","gaussian","positive","600","0.4573773591519291","0.1069568513810615","0.4889124285452907","1.0"
"50","20","Coupled","kmeans","negative","600","0.11834298029784461","0.07556050498372126","0.10783044209042117","0.0"
"50","20","Coupled","kmeans","positive","600","0.46228538467791114","0.1304491215722443","0.4578158668291108","1.0"
"50","22","Coupled","agglomerative","negative","600","0.16195855322882516","0.11100799615317937","0.1414319342626549","0.0"
"50","22","Coupled","agglomerative","positive","600","0.46674403756005867","0.13349319101049656","0.48781759318714124","1.0"
"50","22","Coupled","gaussian","negative","600","0.09190711503639143","0.05532556765503723","0.0859886453901329","0.0"
"50","22","Coupled","gaussian","positive","600","0.46612039198494526","0.10596620072165214","0.4939600195146363","1.0"
"50","22","Coupled","kmeans","negative","600","0.11594042541822669","0.07587962702722911","0.10233883807275526","0.0"
