"dataset_size_pct","sample_size","feature_space","model","source_class_key","case","n_runs","margin_mean","margin_std","margin_median","top1_true_fraction"
"100","20","Coupled","gaussian","AI","negative","100","0.07031936159431953","0.04186772733769946","0.06315440327823979","0.0"
"100","20","Coupled","gaussian","AI","positive","100","0.35129828725484685","0.04115235536311233","0.35044973015434805","1.0"
"100","20","Coupled","gaussian","EV","negative","100","0.05698115388197174","0.04794657065655109","0.05312358641469196","0.0"
"100","20","Coupled","gaussian","EV","positive","100","0.46361174782975995","0.024471984204340276","0.46679301694165154","1.0"
"100","20","Coupled","gaussian","PF","negative","100","0.06616845184443948","0.04703431219866261","0.05681670543078307","0.0"
"100","20","Coupled","gaussian","PF","positive","100","0.2401270181879264","0.03691366069121933","0.24087252951591445","1.0"
"100","20","Coupled","gaussian","PI","negative","100","0.06430889001467051","0.0372014308544936","0.05578130600751843","0.0"
"100","20","Coupled","gaussian","PI","positive","100","0.4479993453654982","0.030106141552396458","0.44992441824492024","1.0"
"100","20","Coupled","gaussian","RMP","negative","100","0.025606184241738772","0.02549074673953938","0.018228060485880854","0.0"
"100","20","Coupled","gaussian","RMP","positive","100","0.3940349795354921","0.03409032071201946","0.397380124732035","1.0"
"100","20","Coupled","gaussian","VV","negative","100","0.12539396284289067","0.03972670846812914","0.12531655594670432","0.0"
"100","20","Coupled","gaussian","VV","positive","100","0.3260544013161033","0.028998605201634296","0.32602122693942326","1.0"
"100","20","Coupled","kmeans","AI","negative","100","0.06489229864754326","0.05764080235834951","0.047288562010033564","0.0"
"100","20","Coupled","kmeans","AI","positive","100","0.39641653572493724","0.05417048414386991","0.4040668546891981","1.0"
"100","20","Coupled","kmeans","EV","negative","100","0.16297053371799353","0.11141879422086053","0.20717722452868675","0.0"
"100","20","Coupled","kmeans","EV","positive","100","0.6491464020765813","0.05297436732189274","0.6623583114170388","1.0"
"100","20","Coupled","kmeans","PF","negative","100","0.0757755398645047","0.047394289242065686","0.0705104453283997","0.0"
"100","20","Coupled","kmeans","PF","positive","100","0.3016918829423935","0.055358988366311736","0.29717634254225156","1.0"
"100","20","Coupled","kmeans","PI","negative","100","0.08114327860042028","0.053885496096598685","0.0755149456959067","0.0"
